序号,ID,标题,类型标签,网盘类目,年份,模块,是否已提取百度链接,转存状态,提取码,解压密码,云桥链接,百度链接,备注
1914,41138,PS建筑可视化插画设计课程 SOA – Academy Postproduction and Matte Painting,Photoshop教程,Photoshop教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=QTd1VW5IMVJzbzdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1915,41135,Zbrush中的动态硬表面设计课程 Artstation – Dynamic Hard Surface Design In Zbrush – Georg Uebler,ZBrush教程,ZBrush教程,2024以后,教程课程,无,pending,YQ9310,yunqiaonet,https://www.yunqiaonet.com/goto?down=TWFkakdJUjdSY3JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1916,41133,ZBrush雕刻栩栩如生的角色课程,模型教程、ZBrush教程,ZBrush教程,2024以后,教程课程,无,pending,YQ9309,yunqiaonet,https://www.yunqiaonet.com/goto?down=OWZONG5rWVRRZ3JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1917,41123,Blender制作卡通CG女孩学生角色视频教程,模型教程、视频教程、Blender教程,Blender教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=dTR1Z0I4cEJ5NGpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1918,41119,掌握Python数据、统计和统计建模课程,模型教程、软件教程,综合教程,2024以后,教程课程,无,pending,YQ9300,yunqiaonet,https://www.yunqiaonet.com/goto?down=am9YRjJLRURjYi9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1919,41115,通过10个项目从头开始学习用于数据科学的Python,软件教程,软件教程,2024以后,教程课程,无,pending,YQ9298,yunqiaonet,https://www.yunqiaonet.com/goto?down=SFd1cS8rNEFQSVBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1920,41111,UE5制作自上而下的幸存者2D风格游戏课程 Unreal Engine 5: Create a top-down 2D survivors style game,UE教程,UE教程,2024以后,教程课程,无,pending,YQ9296,yunqiaonet,https://www.yunqiaonet.com/goto?down=RlZtSmRNczA3enZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1921,41095,制作风格化模型课程合集包 Gumroad – 3dEx – Tutorial Collection – 08,模型教程,模型教程,2024以后,教程课程,无,pending,YQ9290,yunqiaonet,https://www.yunqiaonet.com/goto?down=d0ZzOGUyNEk4T2pTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1922,41089,Houdini和Nuke视觉特效课程 Sci-Fi Growth – Houdini & Nuke VFX Course by Voxyde,合成教程、Houdini教程、Nuke教程,综合教程,2024以后,教程课程,无,pending,YQ9826,yunqiaonet,https://www.yunqiaonet.com/goto?down=RGdGUWRJRVQ5VURTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1923,41085,Houdini和Nuke视觉特效课程 Gumroad – Magical Rock Assembly – Houdini & Nuke VFX Course,合成教程、Houdini教程、Nuke教程,综合教程,2024以后,教程课程,无,pending,YQ9285,yunqiaonet,https://www.yunqiaonet.com/goto?down=R0hUMlFrRGdIenJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1924,41082,3D环境艺术设计制作视频教程 Gumroad – Environment Art Mastery,模型教程、视频教程,综合教程,2024以后,教程课程,无,pending,YQ9282,yunqiaonet,https://www.yunqiaonet.com/goto?down=Y1JrM2lNN2t2bnZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1925,41067,Houdini和Nuke视觉特效课程 Gumroad – Hero Powerup FX – Houdini & Nuke VFX Course,合成教程、Houdini教程、Nuke教程,综合教程,2024以后,教程课程,无,pending,YQ9281,yunqiaonet,https://www.yunqiaonet.com/goto?down=VjgwNFZCZGk2S0RTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1926,41057,Houdini和Nuke视觉特效课程 Gumroad – Demon Fire Trails – Houdini & Nuke VFX Course,合成教程、Houdini教程、Nuke教程,综合教程,2024以后,教程课程,无,pending,YQ9280,yunqiaonet,https://www.yunqiaonet.com/goto?down=UFNSV0Q2QXlNM3pTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1927,41049,Houdini和Nuke视觉特效课程 Gumroad – Ash Disintegration – Houdini & Nuke VFX Course,合成教程、Houdini教程、Nuke教程,综合教程,2024以后,教程课程,无,pending,YQ9279,yunqiaonet,https://www.yunqiaonet.com/goto?down=SmR6RnFVVXptVFhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1928,41043,Houdini和Nuke视觉特效课程 Gumroad – Burning Cloth Tear – Houdini & Nuke VFX Course,合成教程、Houdini教程、Nuke教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=UkJFTVlPYy9nWnJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1929,41038,Houdini和Nuke视觉特效课程 Gumroad – Sci-Fi Warp – Houdini & Nuke VFX Course,合成教程、Houdini教程、Nuke教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=dloydTZld00xZ3JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1930,41026,UE5+Blender+Substance Painter风格化场景制作课程,UE教程、模型教程、Blender教程、Substance教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=alNab2dtN1c3RnpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1931,41022,Houdini和Nuke视觉特效课程 Gumroad – Laser Reveal: Houdini & Nuke VFX Course,合成教程、Houdini教程、Nuke教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=dE5NMkViTjc2NjNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1932,41017,Houdini和Nuke视觉特效课程 Gumroad – Mirror Dimension – Houdini & Nuke VFX Course,合成教程、Houdini教程、Nuke教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=aHFvYkZ6TkxDYWZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1933,41007,Voxyde的Houdini和Nuke雷击毁灭VFX特效制作课程,合成教程、Houdini教程、Nuke教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=TXE1cFdDcVQ4UHJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1934,41005,Paul Liaw的Marvelous Designer服装布料建模流程,模型教程、Marvelous教程,Marvelous教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=elR0dXN1eWVqcHJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1935,40999,Zbrush和Marvelous Designer创建风格化CG舞女角色教程,模型教程、ZBrush教程、Marvelous教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=b09xZ0tCUllvdHpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1936,40997,掌握手绘角色设计：综合教程,模型教程,模型教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=VHpuZ0Jrb0FxMjNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1937,40990,Houdini制作末日陨石降落地球特效视频教程,合成教程、视频教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ9223,yunqiaonet,https://www.yunqiaonet.com/goto?down=VEt5UUVCV2NhblBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1938,40983,虚幻引擎5蓝图 – 第一人称射击游戏 (FPS)开发课程,UE教程,UE教程,2024以后,教程课程,无,pending,YQ9222,yunqiaonet,https://www.yunqiaonet.com/goto?down=amlDd29sd3BhT3JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1939,40978,虚幻5潜行战斗:在UE5蓝图中制作潜行游戏,UE教程,UE教程,2024以后,未分类,无,pending,YQ9197,yunqiaonet,https://www.yunqiaonet.com/goto?down=U2U4cnMyWnVMZExTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1940,40971,Houdini中的流体特效制作课程 FLUID FX IN HOUDINI,合成教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,,yunqiaonet,,,待补链接
1941,40968,Olof Storm的动画电影创作课程 Olof Storm Patreon (Episode 1-36),综合教程,综合教程,2024以后,教程课程,无,pending,YQ9195,yunqiaonet,https://www.yunqiaonet.com/goto?down=R0czbHpBZlNQTnJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1942,40964,Blender中的灯光与合成入门课程,合成教程、Blender教程,Blender教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZzBJNlFIdUpHakRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1943,40963,Nuke高级视觉特效合成视频教程 REBELWAY 2.0 Advanced Compositing for VFX,合成教程、视频教程、Nuke教程,Nuke教程,2024以后,教程课程,无,pending,YQ9186,yunqiaonet,https://www.yunqiaonet.com/goto?down=eDNEYUVORmtkbzdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1944,40961,Houdini中世纪程序城市制作视频教程,视频教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,,yunqiaonet,,,待补链接
1945,40957,Maya阿诺德灯光照明渲染高级技能学习教程,Maya教程,Maya教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=M1RxeWd4Yk1pSkxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1946,40943,Python绝对初学者：从头开始动手编码,软件教程,软件教程,2024以后,未分类,无,pending,YQ9176,yunqiaonet,https://www.yunqiaonet.com/goto?down=NDhhWGppZ0twbWZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1947,40938,音乐制作软件 Steinberg Cubase Pro 12.0.70 MacOS,软件教程、音效教程,综合教程,2024以后,软件插件,无,pending,,yunqiaonet,,,待补链接
1948,40934,建筑设计软件 GRAPHISOFT ArchiCAD 26 Build 6002,软件教程,软件教程,2024以后,软件插件,无,pending,YQ9172,yunqiaonet,https://www.yunqiaonet.com/goto?down=U1NtNWJNVGVuanJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1949,40932,Python游戏开发大师班,软件教程,软件教程,2024以后,未分类,无,pending,YQ9171,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZHVYeFkwWkRXLzdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1950,40928,Nuke特效合成视频教程 Composting In Nuke (Week 1-8),合成教程、视频教程、Nuke教程,Nuke教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=SEVsZGUxcVFFRkhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1951,40916,业的录音软件 n-Track Studio Suite 10.0.0.8168 破解版,软件教程,软件教程,2024以后,软件插件,无,pending,YQ9165,yunqiaonet,https://www.yunqiaonet.com/goto?down=OUphYlQ1YllOUWVsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1952,40914,使用Blender和World Creator创建自然环境概念艺术教程,模型教程、Blender教程,Blender教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=MzU0c1MyN0luZDNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1953,40912,实时FX流程中的Substance Designer基础知识,Substance教程,Substance教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=QUZqQmdSc25KSmZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1954,40899,使用Houdini和Arnold渲染真实材质课程,贴图教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ9160,yunqiaonet,https://www.yunqiaonet.com/goto?down=dTNoZTRPZitCRzNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1955,40891,工业设计3D建模软件 Rhinoceros 8 win/mac,软件教程、模型教程,综合教程,2024以后,软件插件,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=a1doRWdLY3U5L2JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1956,40880,C4D动画制作视频教程 Motion Design School-3D Motion Beast,模型教程、视频教程、C4D教程,C4D教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=SUhaR3ZPN2t4TW5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1957,40878,Houdini教程 Rebelway – Houdini Advanced FX RISE,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=dVpKMmVkM01LS2JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1958,40875,Houdini教程 FXRebelway – Advanced magical FX in Houdini,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ9137,yunqiaonet,https://www.yunqiaonet.com/goto?down=dW1oQm52NzdaTVRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1959,40873,Blender纹理绘画创建令人惊叹的风格化模型,贴图素材、模型素材、Blender素材,Blender素材,2024以后,材质贴图,无,pending,YQ9136,yunqiaonet,https://www.yunqiaonet.com/goto?down=T2cxcWVlYzR2ZmJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1960,40871,Houdini爆炸特效制作课程 Rebelway – Advanced Explosion FX,合成教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,YQ9135,yunqiaonet,https://www.yunqiaonet.com/goto?down=dEJ0WnNoaWpNUmpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1961,40841,Unity可视化脚本：以简单的方式学习游戏编码课程,Unity教程、软件教程,综合教程,2024以后,教程课程,无,pending,YQ9127,yunqiaonet,https://www.yunqiaonet.com/goto?down=RkJYSWxkTTZuQTdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1962,40839,Blender动画和绑定课程：让您的角色创作栩栩如生,模型教程、Blender教程,Blender教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=NlFydzlEK2lob0RTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1963,40832,Maya插件Ziva Dynamics完整指南-使用Maya进行角色CFX,模型教程、Maya教程,Maya教程,2024以后,教程课程,无,pending,YQ9118,yunqiaonet,https://www.yunqiaonet.com/goto?down=S0E2Q1NXVmNNbS9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1964,40826,3dsMax的NM-Lab系统-快速实现现实主义一体式预制森林包对象,模型教程、3dsMax教程,3dsMax教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=RE5ZR3NnMndDdjNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1965,40822,使用Python进行机器学习：数学视角,AI教程、软件教程,综合教程,2024以后,教程课程,无,pending,YQ9115,yunqiaonet,https://www.yunqiaonet.com/goto?down=WTdMeitPZGZyK3JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1966,40816,Maya创建视频游戏道具资产工作流程课程,模型教程、视频教程、Maya教程,Maya教程,2024以后,教程课程,无,pending,YQ9111,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZjU2YTloTkVYWVBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1967,40812,数据科学|ChatGPT在Python和数据科学中的强大功能,AI教程、软件教程,综合教程,2024以后,未分类,无,pending,YQ9110,yunqiaonet,https://www.yunqiaonet.com/goto?down=UG9PWHptbUxpQ2pTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1968,40804,Mac电脑直播工具 Wirecast Pro 16.0.2 MacOS,软件教程,软件教程,2024以后,软件插件,无,pending,YQ9106,yunqiaonet,https://www.yunqiaonet.com/goto?down=YWxkQTVOL1ljU0NsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
1969,40798,RedefineFX出品-产品可视化3D动画大师班课程,综合教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=K0V1TzBNR0VLUmpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1970,40794,与Norris Lin合作学习3DCoat概念艺术设计制作流程第1部分,综合教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=VWpXb2tFdDhQamZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1971,40792,火箭发射初级特效制作课程,合成教程,合成教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=RTlCKy9QUzQ4Ni9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1972,40788,火焰烟雾特效制作课程 Phoenix FD Fire & Smoke FX Course,合成教程,合成教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZldVQUhxOFhQQ0hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1973,40785,使用tyFlow进行酷炫3D模拟从初学者到专业人士,综合教程,综合教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=L1VKZHZYeE12SExTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1974,40777,PhoenixFD液体模拟课程2.0,综合教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=KzVQS3c1YkxKWFhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1975,40767,云桥网络 CG资源分享教程-用C4D制作震撼且身临其境的动画,C4D教程,C4D教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=ME5HVnhZOWplOExTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1976,40762,Houdini FX 培训从实践开始,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=TWRhU1VURnoyd2pTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1977,40759,3dmax实用科幻道具设计课程 Practical Sci-Fi Design,综合教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=YUpJTEtXNnZUOHJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1978,40756,Houdini VFX特效制作秘密学习路径,合成教程、Houdini教程,Houdini教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=dHAxU3g4S0RMUHpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1979,40744,一天学会Python视频教程,视频教程、软件教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=Y0FCbGVVNnArSHpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1980,40742,Blender硬表面建模和专业渲染学习视频教程,模型教程、视频教程、Blender教程,Blender教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=Z05mTkErcFpISkxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1981,40733,Houdini中的有机设计课程,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=L3hxRDk4UWpHOS9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1982,40717,Substance Designer教程-高级物质纹理制作并导入UE4课程,UE教程、贴图教程、Substance教程,Substance教程,2024以后,教程课程,无,pending,,yunqiaonet,,,待补链接
1983,40704,UE5教程-创建史诗般的风格化爆炸,UE教程,UE教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=ODNzMC9tQ1dpanJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1984,40696,UE5创建高级动态库存系统,UE素材,UE素材,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=VGlOVTZsSDZ5bi9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1985,40695,推荐教程-使用C4D制作风格化半写实角色视频教程,模型教程、视频教程、C4D教程,C4D教程,2024以后,教程课程,无,pending,YQ9057,yunqiaonet,https://www.yunqiaonet.com/goto?down=Q1B6M2J6NkFGSEhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1986,40692,使用Photoshop与Blender设置制作美丽的电影关键帧插图,Blender教程、Photoshop教程,综合教程,2024以后,未分类,无,pending,YQ9051,yunqiaonet,https://www.yunqiaonet.com/goto?down=SUpSblVrSS9PVnJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1987,40689,动态图形介绍：从故事板到动画的讲解视频,视频教程,视频教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=V25JQ09XS3YyS1BTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1988,40683,虚拟漫画卡通角色设计制作课程,模型教程,模型教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=emErOWlqUmR3VExTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1989,40678,ChatGPT和Langchain开发者大师班课程,AI教程,AI教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=eXRLUXhYQWhPcVhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1990,40674,PS数字绘画课程 WLOP – Makeup2,Photoshop教程,Photoshop教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=Vlp2Vmsway83Q0hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1991,40663,Illustrator Firefly-生成Ai矢量图形课程,综合教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=Z3F1ZDVSL1dZdDdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1992,40651,Houdini教程-VEX基础知识,Houdini教程,Houdini教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=RmNNOWVqSmFhM0hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1993,40639,Autodesk Maya建模要点学习教程,模型教程、Maya教程,Maya教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=NEI0SHJ2ZVFKSzdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1994,40635,3dmax室内设计课程 Gumroad – Archviz interior making of,综合教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=dmg4L0FMdXo4bmZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1995,40631,Adobe Illustrator教程：释放释放您的想象力,综合教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=dmpNbnJFdzhLWnpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1996,40624,基于专业Photoshop的创意辉煌项目,Photoshop教程,Photoshop教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=Njl1bmovd2ZSempTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1997,40620,Blender和Substance Painter打造AAA级幻想武器,模型教程、Blender教程、Substance教程,综合教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=TlQzRzR0emtLbEhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1998,40599,概念场景艺术设计第1卷,模型素材,模型素材,2024以后,模型,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=TTFJMlhVejZBMWZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
1999,40595,使用Godot 4开发您自己的3D游戏课程,综合教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=Qm1SOEl0V0JsUFRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2000,40580,Substance Painter制作逼真的道具纹理课程,贴图教程、Substance教程,Substance教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=MTBFWFRtMVRtU3ZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2001,40575,Pluvias让你的梦想成真–从规划到出版绘制动漫风格的网络漫画,综合教程,综合教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=a1hNdW5GTVgrUG5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2002,40573,数字绘画-WLOP – Dressing Room 3,综合教程,综合教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZFhjM2JiV0JxZFBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2003,40569,C4D制作耳机3D建模视频教程,模型教程、视频教程、C4D教程,C4D教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=djhjUnBWTWw5NUxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2004,40567,C4D硬表面3D建模视频教程,模型教程、视频教程、C4D教程,C4D教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=NjRqZDJVT3NyRVhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2005,40559,Blender三渲二卡通角色制作流程讲解课程,模型教程、Blender教程,Blender教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=dENCaVA2Zk9LR1hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2006,40553,AE与C4D运动图形专业动画设计制作课程,视频教程、C4D教程,C4D教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=TU9IbVdsWm1YTlhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2007,40548,Nuke中的高级CG合成和外观开发课程,合成教程、Nuke教程,Nuke教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=R1ljOHpDdVpiczNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2008,40545,C4D角色创建制作视频教程,模型教程、视频教程、C4D教程,C4D教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=VGVYcytZK2hzbXZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2009,40543,使用Arnold进行照明、渲染和合成教程,合成教程、软件教程,综合教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=aGoxL0VLOWhlTkRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2010,40527,游戏角色插画设计学习课程,模型教程,模型教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=aTJZK0xLaEduMmJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2011,40519,使用Blender创建3D Geppetto物品 Create 3D Geppetto items with Blender,Blender教程,Blender教程,2024以后,未分类,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=TXVuenlnVCtHaC9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
2012,40460,编剧剧本创作软件 Final Draft 12.0.9 Build 110 破解版,软件教程,软件教程,2024以后,软件插件,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=eStNbTNWOEJ4dmFsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
2013,40455,Blender教程-学习创建令人惊叹的3D渲染课程,Blender教程,Blender教程,2024以后,教程课程,无,pending,,yunqiaonet,https://www.yunqiaonet.com/goto?down=UVZrU2M1bUdRUmZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
